maj,min,value,name,trans,prons,index,index2,vowel
Ⲁ,ⲁ,1,alpʰa,a,a;ʕ;ʔ,1,1,1
Ⲃ,ⲃ,2,bēta,b,b;v;w,2,1,0
Ⲅ,ⲅ,3,gamma,g,k;g;ŋ;ɣ,3,2,0
Ⲇ,ⲇ,4,dalda,d,d;ð,4,3,0
Ⲉ,ⲉ,5,ei,e,e,5,2,1
Ⲋ,ⲋ,6,soou,st,st,6,4,0
Ⲍ,ⲍ,7,zēta,z,s;z,7,5,0
Ⲏ,ⲏ,8,ēta,ē,eː;ɛː;i,8,3,1
Ⲑ,ⲑ,9,tʰēta,tʰ,tʰ;θ,9,6,0
Ⲓ,ⲓ,10,iōta,i,i;j,10,4,1
Ⲕ,ⲕ,20,kappa,k,k,11,7,0
Ⲗ,ⲗ,30,laula,l,l,12,8,0
Ⲙ,ⲙ,40,mē,m,m,13,9,0
Ⲛ,ⲛ,50,nē,n,n,14,10,0
Ⲝ,ⲝ,60,kˢi,kˢ,ks,15,11,0
Ⲟ,ⲟ,70,ou,o,o,16,5,1
Ⲡ,ⲡ,80,pi,p,p,17,12,0
Ⲣ,ⲣ,100,rō,r,r,18,13,0
Ⲥ,ⲥ,200,sēmma,s,s,19,14,0
Ⲧ,ⲧ,300,tau,t,t;d,20,15,0
Ⲩ,ⲩ,400,he,u,u;w;i;v,16,6,1
Ⲫ,ⲫ,500,pʰi,pʰ,pʰ;f,17,16,0
Ⲭ,ⲭ,600,kʰi,kʰ,kʰ;χ;ʃ,18,17,0
Ⲯ,ⲯ,700,pˢi,pˢ,ps,24,28,0
Ⲱ,ⲱ,800,ō,ō,oː,25,7,1
Ϣ,ϣ,,šai,š,ʃ,26,19,0
Ϥ,ϥ,90,fai,f,f,27,20,0
Ϧ,ϧ,,ḫai,ḫ,x,28,21,0
Ϩ,ϩ,,hori,h,h,29,22,0
Ϫ,ϫ,,ḏanḏia,ḏ,d͡ʒ;g,30,23,0
Ϭ,ϭ,,qima,q,q;t͡ʃ,31,24,0
Ϯ,ϯ,,ti,ti,ti,32,25,0
Ⳁ,ⳁ,900,pˢis ənše,ss,sː;t͡s,33,26,0