letter,name,archaic
ᐁ,î,0
ᐃ,i,0
ᐅ,o,0
ᐊ,a,0
ᐄ,î,1
ᐆ,ô,0
ᐋ,â,0
ᐯ,pî,0
ᐱ,pi,0
ᐳ,po,0
ᐸ,pa,0
ᐲ,pî,1
ᐴ,pô,0
ᐹ,pâ,0
ᑊ,-p,0
ᑌ,tî,0
ᑎ,ti,0
ᑐ,to,0
ᑕ,ta,0
ᑏ,tî,1
ᑑ,tô,0
ᑖ,tâ,0
ᐟ,-t,0
ᑫ,kî,0
ᑭ,ki,0
ᑯ,ko,0
ᑲ,ka,0
ᑮ,kî,1
ᑰ,kô,0
ᑳ,kâ,0
ᐠ,-k,0
ᒉ,cî,0
ᒋ,ci,0
ᒍ,co,0
ᒐ,ca,0
ᒌ,cî,1
ᒎ,cô,0
ᒑ,câ,0
ᐨ,-c,0
ᒣ,mî,0
ᒥ,mi,0
ᒧ,mo,0
ᒪ,ma,0
ᒦ,mî,1
ᒨ,mô,0
ᒫ,mâ,0
ᒼ,-m,0
ᓀ,nî,0
ᓂ,ni,0
ᓄ,no,0
ᓇ,na,0
ᓃ,nî,1
ᓅ,nô,0
ᓈ,nâ,0
ᐣ,-n,0
ᓭ,sî,0
ᓯ,si,0
ᓱ,so,0
ᓴ,sa,0
ᓰ,sî,1
ᓲ,sô,0
ᓵ,sâ,0
ᐢ,-s,0
ᔦ,yî,0
ᔨ,yi,0
ᔪ,yo,0
ᔭ,ya,0
ᔩ,yî,1
ᔫ,yô,0
ᔮ,yâ,0
ᕀ,-y,0
ᐝ,-y,1
ᖧ,thî,0
ᖨ,thi,0
ᖪ,tho,0
ᖬ,tha,0
ᖩ,thî,1
ᖫ,thô,0
ᖭ,thâ,0
ᙾ,-th,0
ᐍ,wî,0
ᐏ,wi,0
ᐓ,wo,0
ᐘ,wa,0
ᐑ,wî,1
ᐕ,wô,0
ᐚ,wâ,0
ᐤ,-w,0
ᐦᐁ,hî,0
ᐦᐃ,hi,0
ᐦᐅ,ho,0
ᐦᐊ,ha,0
ᐦᐄ,hî,1
ᐦᐆ,hô,0
ᐦᐋ,hâ,0
ᐦ,-h,0
ᕽ,hk,0
ᓬ,l,0
ᕒ,r,0